Название	x	y	h
1	67642,596	54061,796	138,3
2	67660,465	54032,041	138,3
3	67682,208	54000,374	138,3
4	67701,6	53965,496	138,3
5	67722,861	53934,897	138,3
6	67741,677	53914,873	138,3
7	67760,06	53917,103	138,3
8	67784,349	53915,483	138,3
9	67792,682	53897,654	138,3
10	67802,575	53887,019	138,3
11	67787,942	53864,804	138,3
12	67786,631	53825,983	138,3
13	67824,162	53759,9	138,3
14	67868,262	53690,083	138,3
15	67914,364	53622,53	138,3
16	67958,291	53554,271	138,3
17	67989,144	53500,866	138,3
18	68040,141	53448,75	138,3
19	68097,838	53388,349	138,3
20	68127,159	53329,245	138,3
21	68139,037	53295,694	138,3
22	68162,009	53244,433	138,3
23	68229,788	53221,942	138,3
24	68254,199	53229,874	138,3
25	68232,732	53308,722	138,3
26	68205,769	53367,876	138,3
27	68172,734	53435,943	138,3
28	68138,083	53506,062	138,3
29	68098,939	53562,662	138,3
30	68056,238	53634,055	138,3
31	68015,853	53681,831	138,3
32	67974,451	53728,83	138,3
33	67928,618	53793,137	138,3
34	67879,254	53856,056	138,3
35	67842,972	53899,215	138,3
36	67817,691	53925,321	138,3
37	67790,402	53948,553	138,3
38	67759,252	53974,895	138,3
39	67733,741	54003,261	138,3
40	67711,92	54037,479	138,3
41	67695,032	54068,399	138,3
42	67685,417	54087,037	138,3
43	67736,654	54086,333	138,3
44	67781,879	54084,443	138,3
45	67820,128	54085,134	138,3
46	67835,271	54061,398	138,3
47	67915,011	54000,338	138,3
48	67949,49	53975,3	138,3
49	67995,011	53939,632	138,3
50	68052,717	53892,439	138,3
51	68115,127	53833,474	138,3
52	68170,289	53763,651	138,3
53	68229,599	53704,876	138,3
54	68290,925	53649,464	138,3
55	68319,818	53615,916	138,3
56	68370,71	53528,505	138,3
57	68402,261	53470,553	138,3
58	68433,549	53422,43	138,3
59	68458,835	53369,213	138,3
60	68470,184	53324,882	138,3
61	68471,523	53286,4	138,3
62	68468,494	53237,665	138,3
63	68471,754	53198,887	138,3
64	68469,861	53168,347	138,3
65	68533,659	53193,81	138,3
66	68588,215	53209,459	138,3
67	68655,075	53235,371	138,3
68	68650,671	53279,409	138,3
69	68619,248	53339,202	138,3
70	68574,611	53394,746	138,3
71	68521,213	53451,162	138,3
72	68471,322	53504,708	138,3
73	68425,023	53564,54	138,3
74	68364,084	53636,696	138,3
75	68324,335	53694,604	138,3
76	68274,159	53778,212	138,3
77	68250,653	53831,22	138,3
78	68212,218	53888,294	138,3
79	68165,854	53920,485	138,3
80	68075,337	53969,854	138,3
81	68019,043	54001,492	138,3
82	67988,713	54040,652	138,3
83	67997,793	54063,221	138,3
84	67675,554	54059,948	138,3
85	67752,992	54059,41	138,3
86	67840,874	54060,991	138,3
87	67898,993	54046,523	138,3
88	67980,085	54032,272	138,3
89	68051,12	54016,655	138,3
90	68125,343	54038,898	138,3
91	68176,125	53997,107	138,3
92	68240,745	53938,993	138,3
93	68293,96	53880,163	138,3
94	68346,248	53825,532	138,3
95	68386,659	53780,061	138,3
96	68425,557	53743,247	138,3
97	68468,222	53686,948	138,3
98	68514,121	53640,158	138,3
99	68566,852	53596,235	138,3
100	68629,829	53542,005	138,3
101	68684,361	53489,892	138,3
102	68713,877	53459,202	138,3
103	68736,726	53446,017	138,3
104	68742,331	53519,614	138,3
105	68778,906	53601,303	138,3
106	68805,315	53639,161	138,3
107	68756,845	53684,229	138,3
108	68701,252	53732,808	138,3
109	68639,987	53775,861	138,3
110	68585,737	53823,688	138,3
111	68523,967	53878,012	138,3
112	68469,329	53914,716	138,3
113	68420,584	53940,133	138,3
114	68409,064	53964,772	138,3
115	68432,214	53981,43	138,3
116	68422,007	54014,226	138,3
117	68339,987	54058,282	138,3
118	68282,062	54074,436	138,3
119	68254,361	54083,037	138,3
120	68349,318	54140,687	138,3
121	68420,749	54207,561	138,3
122	68462,036	54255,31	138,3
123	68525,834	54217,19	138,3
124	68590,289	54160,215	138,3
125	68624,011	54104,244	138,3
126	68677,87	54012,355	138,3
127	68721,257	53946,127	138,3
128	68762,118	53885,12	138,3
129	68805,913	53847,229	138,3
130	68850,064	53785,752	138,3
131	68899,817	53743,772	138,3
132	68932,38	53720,775	138,3
133	69005,87	53752,161	138,3
134	69037,333	53861,469	138,3
135	69044,404	53931,19	138,3
136	69078,862	53964,858	138,3
137	69052,119	54011,873	138,3
138	69017,41	54053,173	138,3
139	68970,706	54098,253	138,3
